uid,len_var,extra,agrbl,consc,neuro,openn
01,-0.323,3.125,3.778,4.444,2.750,3.900
02,-0.956,2.125,3.000,4.222,3.500,3.200
03,-1.328,2.125,3.222,3.889,3.375,2.700
04,1.760,2.375,3.111,2.667,4.125,2.900
05,0.449,3.125,3.778,4.444,2.750,3.300
07,0.517,3.125,4.222,3.778,2.143,2.300
08,-0.684,2.625,3.778,4.222,3.250,3.300
09,-0.613,2.375,4.556,2.667,2.125,3.300
10,-0.453,2.000,1.333,4.778,3.375,3.600
14,1.606,3.250,3.667,3.375,2.429,3.300
15,0.106,3.250,3.556,3.111,2.750,3.000
16,-0.738,1.750,3.333,3.556,4.250,3.800
17,-0.651,2.625,3.889,3.333,3.125,4.500
18,-0.154,2.625,2.222,3.222,3.750,2.500
19,-0.568,1.750,3.111,3.444,3.625,3.200
20,-0.724,3.875,4.333,3.333,2.375,3.600
22,0.035,3.625,3.444,4.556,2.875,3.800
23,-0.812,3.000,3.667,3.000,3.750,3.600
27,-0.572,2.500,3.889,2.667,3.125,3.300
30,0.434,4.500,4.111,4.444,2.000,3.600
32,2.300,4.250,4.222,4.333,1.750,3.700
33,-0.238,2.875,3.333,1.889,3.625,4.600
35,-0.594,2.625,3.889,3.556,2.625,3.400
43,-0.157,2.375,4.111,4.222,2.500,3.300
46,2.582,3.125,3.111,3.556,3.500,4.200
51,-1.454,3.375,3.778,3.778,2.750,4.000
53,-1.024,2.250,4.000,2.889,4.500,4.400
54,-0.037,3.000,3.333,3.111,2.750,3.100
57,0.180,2.125,4.000,3.222,2.125,2.700
58,-0.783,2.125,4.333,3.556,3.875,3.600
59,1.715,4.000,4.111,2.556,2.875,3.500
