uid,q1,extra,agrbl,consc,neuro,openn
00,-6.200,3.750,2.889,3.000,3.125,4.500
01,-6.000,3.125,3.778,4.444,2.750,3.900
03,2.000,2.125,3.222,3.889,3.375,2.700
04,-5.000,2.375,3.111,2.667,4.125,2.900
07,-7.200,3.125,4.222,3.778,2.143,2.300
08,-4.200,2.625,3.778,4.222,3.250,3.300
10,-7.200,2.000,1.333,4.778,3.375,3.600
12,-7.800,2.875,3.556,3.667,2.875,3.400
16,-9.000,1.750,3.333,3.556,4.250,3.800
17,6.400,2.625,3.889,3.333,3.125,4.500
19,-3.200,1.750,3.111,3.444,3.625,3.200
22,-4.200,3.625,3.444,4.556,2.875,3.800
27,-2.200,2.500,3.889,2.667,3.125,3.300
30,-5.000,4.500,4.111,4.444,2.000,3.600
33,4.600,2.875,3.333,1.889,3.625,4.600
43,-0.600,2.375,4.111,4.222,2.500,3.300
46,-5.600,3.125,3.111,3.556,3.500,4.200
49,-2.400,2.875,4.222,3.667,2.500,4.300
51,2.800,3.375,3.778,3.778,2.750,4.000
53,-2.400,2.250,4.000,2.889,4.500,4.400
58,5.000,2.125,4.333,3.556,3.875,3.600
59,-1.800,4.000,4.111,2.556,2.875,3.500
